OrgID,City
10,Long Beach
65,Big Sur
65,Carmel
65,Del Rey Oaks
65,Marina
65,Pacific Grove
65,San Juan Batista
65,Seaside
100,San Pedro
101,San Francisco Bay Area
102,All
104,All
105,All
106,All
107,All
109,Carpinteria
112,San Luis Obispo
113,All
115,San Diego
124,Palo Alto
125,All
130,Elk Grove
130,Galt
130,Sacramento
135,All
138,Santa Cruz
139,All
141,All
142,Varies
146,San Anselmo
146,San Francisco
148,100 mile radius of San Jose
151,Riverside
152,San Diego
154,Morro Bay
168,Marina
168,Monterey
172,Ukiah
173,Los Osos
177,Monterey
177,Santa Clara
177,Santa Cruz
179,Los Osos
183,All
186,Fresno
186,Granite Bay
193,Santa Barbara
193,Ventura
202,Davis
216,Santa Barbara
220,Palos Verdes Estates
220,Rancho Palos Verdes
220,Rolling Hills
220,Rolling Hills Estates
220,San Pedro
220,Torrance
223,Novato
230,Pismo Beach
230,San Luis Obispo
233,Sonoma
235,Petaluma
244,San Francisco
248,Marina
248,Seaside
251,Ventura
252,All
257,All
261,San Francisco
263,Santa Barbara
267,All
276,Santa Cruz
278,All
297,Auburn
297,Colfax
297,Lincoln
297,Rocklin
297,Roseville
297,Tahoe City
